Incident Number,Incident Date,Field Unit,Protected Heritage Area,Incident Type,Species Common Name,Sum of Number of Animals,Animal Health Status,Cause of Animal Health Status,Animal Behaviour,Reason for Animal Behaviour,Animal Attractant,Deterrents Used,Animal Response to Deterrents
KOONP2016-0121,2016-08-25,"Lake Louise, Yoho and Kootenay Field Unit",Kootenay National Park of Canada,Human Wildlife Interaction,None,0,,,,,Petroleum products,,
LL2016-0559,2016-08-25,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Wildlife Sighting,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,Berries (natural),,
PRN2016-0239,2016-08-25,Coastal British Columbia Field Unit,Pacific Rim National Park Reserve of Canada,Human Wildlife Interaction,Black Bear,1,,,Curious Approach,Food Conditioned,Human food,Noise - Voice,
UNP2016-0007,2016-08-25,Nunavut Field Unit,Ukkusiksalik National Park of Canada,Human Wildlife Interaction,Polar Bear,1,Healthy,,Curious Approach,Unknown,,Noise - Banger or Screamer,
WL2016-0336,2016-08-25,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,2,Healthy,,Presence - Wildlife Exclusion Zones,,Berries (natural),Noise - Voice,
WL2016-0339,2016-08-25,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Management Intervention,Grizzly Bear,1,Healthy,,,,,,
WL2016-0341,2016-08-25,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
WL2016-0342,2016-08-25,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,Healthy,,,,,,
WL2016-0345,2016-08-25,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,Noise - Voice,
WL2016-0346,2016-08-25,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
WL2016-0347,2016-08-25,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,Noise - Voice,
WL2016-0348,2016-08-25,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,Domestic grass,Noise - Banger or Screamer,
BAN2016-1244,2016-08-26,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Elk,1,Not Located,,,,Vegetation (natural),,
BAN2016-1245,2016-08-26,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Black Bear,3,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Noise - Voice,
BAN2016-1246,2016-08-26,Banff Field Unit,Banff National Park of Canada,Highway Fence Intrusion,Black Bear,1,Not Located,Entangle-Entrapment,,Stress,,,
BAN2016-1247,2016-08-26,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,,Noise - Voice,
BAN2016-1249,2016-08-26,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,Habituation,,Unknown,
BPF2016-00006,2016-08-26,Eastern and Central Ontario Field Unit,Bruce Peninsula National Park of Canada,Rescued/Recovered/Found Wildlife,Massasauga,1,Dead,Collision,,,,,
GBI2016-00089,2016-08-26,Eastern and Central Ontario Field Unit,Georgian Bay Islands National Park of Canada,Human Wildlife Interaction,Massasauga,1,,,Presence - Wildlife Exclusion Zones,,,,
GBI2016-00090,2016-08-26,Eastern and Central Ontario Field Unit,Georgian Bay Islands National Park of Canada,Human Wildlife Interaction,Massasauga,1,,,Presence - Wildlife Exclusion Zones,,,,
GBI2016-00092,2016-08-26,Eastern and Central Ontario Field Unit,Georgian Bay Islands National Park of Canada,Human Wildlife Interaction,Massasauga,1,,,Presence - Wildlife Exclusion Zones,,,,
GLA2016-00010,2016-08-26,Mount Revelstoke and Glacier Field Unit,Glacier National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Avoidance,,,,
JNP2016-00000181,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-01291,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1285,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1287,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,3,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1287,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Unknown bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1288,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1291,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1292,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Barn Swallow,1,Healthy,Entangle-Entrapment,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1293,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1294,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1295,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,,,
JNP2016-1296,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1297,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1298,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Rescued/Recovered/Found Wildlife,White-tailed Deer,1,Dead,Collision,,,,,
JNP2016-1299,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1300,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1301,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Domestic Animal,None,0,,,,,,,
JNP2016-1302,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1304,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1305,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1306,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1307,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1308,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1323,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1432,2016-08-26,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Bluff Charge,Habituation,,,
KOONP2016-0122,2016-08-26,"Lake Louise, Yoho and Kootenay Field Unit",Kootenay National Park of Canada,Wildlife Sighting,Black Bear,1,,,Indifferent to People/Vehicles,Habituation,Berries (natural),,
LL2016-0560,2016-08-26,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Indifferent to People/Vehicles,Habituation,Berries (natural),Noise - Voice,
LL2016-0561,2016-08-26,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Presence - Wildlife Exclusion Zones,Habituation,,Noise - Voice,
WL2016-0407,2016-08-26,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
BAN2016-1250,2016-08-27,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Grizzly Bear,3,Not Located,,Bluff Charge,Defence of Young,Vegetation (natural),Noise - Voice,
BAN2016-1251,2016-08-27,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Black Bear,1,Not Located,,Indifferent to People/Vehicles,,,,
FOR2016-0022,2016-08-27,Gaspesie Field Unit,Forillon National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),,
JNP2016-1309,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1310,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Bluff Charge,Defence of Space,,,
JNP2016-1311,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,2,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1312,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Unknown bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1313,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,4,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1314,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Woodrat,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1315,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Unknown bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1316,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1318,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,Healthy,,Contact-Property,Defence of Young,,,
JNP2016-1318,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,,,
JNP2016-1319,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Management Intervention,Grizzly Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1320,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1321,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Bluff Charge,Defence of Mate,,,
JNP2016-1322,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1433,2016-08-27,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Bluff Charge,Habituation,,,
KOONP2016-0126,2016-08-27,"Lake Louise, Yoho and Kootenay Field Unit",Kootenay National Park of Canada,Wildlife Sighting,Grizzly Bear,1,,,Avoidance,Stress,Berries (natural),,
WL2016-0351,2016-08-27,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
YNP2016-0125,2016-08-27,"Lake Louise, Yoho and Kootenay Field Unit",Yoho National Park of Canada,Rescued/Recovered/Found Wildlife,None,0,,,,,Carrion,,
BAN2016-1252,2016-08-28,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Grizzly Bear,1,Not Located,,,,Vegetation (natural),,
BAN2016-1253,2016-08-28,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,5,Healthy,,Indifferent to People/Vehicles,Habituation,,Noise - Horn,
BAN2016-1254,2016-08-28,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Elk,1,Not Located,Entangle-Entrapment,,,,,
BAN2016-1255,2016-08-28,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,Habituation,,Unknown,
BAN2016-1256,2016-08-28,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,4,Healthy,,Indifferent to People/Vehicles,,Vegetation (natural),Noise - Voice,
BAN2016-1257,2016-08-28,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Black Bear,3,Healthy,,Indifferent to People/Vehicles,,,,
GLA2016-00008,2016-08-28,Mount Revelstoke and Glacier Field Unit,Glacier National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,Healthy,,Avoidance,Surprise,,,
GLA2016-00009,2016-08-28,Mount Revelstoke and Glacier Field Unit,Glacier National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Avoidance,Surprise,,,
JNP2016-1324,2016-08-28,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1325,2016-08-28,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1326,2016-08-28,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1327,2016-08-28,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,3,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1329,2016-08-28,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1331,2016-08-28,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1332,2016-08-28,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1333,2016-08-28,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1334,2016-08-28,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1335,2016-08-28,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1336,2016-08-28,Jasper Field Unit,Jasper National Park of Canada,Harassment,Elk,1,Healthy,,Bluff Charge,Defence of Space,,,
KOONP2016-0123,2016-08-28,"Lake Louise, Yoho and Kootenay Field Unit",Kootenay National Park of Canada,Rescued/Recovered/Found Wildlife,Moose,1,Dead,Collision,,,,,
KOONP2016-0124,2016-08-28,"Lake Louise, Yoho and Kootenay Field Unit",Kootenay National Park of Canada,Highway Fence Intrusion,White-tailed Deer,1,Healthy,Entangle-Entrapment,Avoidance,Stress,Vegetation (natural),Presence of Officer/Person,
LL2016-0562,2016-08-28,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Wildlife Sighting,Wolf,1,,,Presence - Wildlife Exclusion Zones,,,,
LL2016-0563,2016-08-28,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Barn Swallow,8,,,,,,,
PRN2016-0257,2016-08-28,Coastal British Columbia Field Unit,Pacific Rim National Park Reserve of Canada,Human Wildlife Interaction,Black Bear,1,,,Curious Approach,Food Conditioned,Human food,Noise - Voice,
WL2016-0350,2016-08-28,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,4,Healthy,,,,,,
WL2016-0352,2016-08-28,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,2,Healthy,,Presence - Wildlife Exclusion Zones,,,,
WL2016-0354,2016-08-28,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Harassment,Black Bear,1,Healthy,,Indifferent to People/Vehicles,,,,
2021-HWC-1007-SAGFU-0009,2016-08-29,Saguenay-St. Lawrence Field Unit,Saguenay-St. Lawrence Marine Park,Rescued/Recovered/Found Wildlife,Blue Whale,1,Injured,Collision,,,,,
BAN2016-00027,2016-08-29,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,Habituation,,,
BAN2016-1258,2016-08-29,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Beaver,1,Dead,Collision,,,,,
BAN2016-1259,2016-08-29,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Magpie,1,Dead,Unknown,,,,,
EI2016-0176,2016-08-29,Northern Prairies Field Unit,Elk Island National Park of Canada,Domestic Animal,Domestic Dog,2,Healthy,,,,,,
GBI2016-00096,2016-08-29,Eastern and Central Ontario Field Unit,Georgian Bay Islands National Park of Canada,Human Wildlife Interaction,Massasauga,1,,,Presence - Wildlife Exclusion Zones,,,,
GBI2016-00097,2016-08-29,Eastern and Central Ontario Field Unit,Georgian Bay Islands National Park of Canada,Human Wildlife Interaction,Massasauga,1,,,Presence - Wildlife Exclusion Zones,,,,
GBI2016-00098,2016-08-29,Eastern and Central Ontario Field Unit,Georgian Bay Islands National Park of Canada,Human Wildlife Interaction,Massasauga,1,,,Presence - Wildlife Exclusion Zones,,,,
GLA2016-0440,2016-08-29,Mount Revelstoke and Glacier Field Unit,Glacier National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,,,
JNP2016-1337,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Rescued/Recovered/Found Wildlife,White-tailed Deer,1,Dead,Collision,,,,,
JNP2016-1338,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1339,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Rescued/Recovered/Found Wildlife,Great Horned Owl,1,Dead,Collision,,,,,
JNP2016-1340,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1341,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,None,0,,,,,Garbage,,
JNP2016-1342,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1343,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Brown Rat,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1344,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Unknown bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1345,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Unknown bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1346,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Unknown bear,1,Healthy,,Indifferent to People/Vehicles,,,,
JNP2016-1348,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,Healthy,,Avoidance,Stress,,,
JNP2016-1350,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Rescued/Recovered/Found Wildlife,Black Bear,1,Dead,Collision,,,,,
JNP2016-1351,2016-08-29,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
LL2016-0564,2016-08-29,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Porcupine,1,Dead,Collision,,,,,
LL2016-0565,2016-08-29,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,None,0,,,,,Human food,,
LL2016-0566,2016-08-29,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,None,0,,,,,Garbage,,
WL2016-0355,2016-08-29,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,4,Healthy,,Presence - Wildlife Exclusion Zones,,,Noise - Voice,
WL2016-0356,2016-08-29,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,Noise - Voice,
BAN2016-1260,2016-08-30,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Golden-crowned Kinglet,1,Not Located,Unknown,,,,,
BAN2016-1261,2016-08-30,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Wolf,1,Healthy,,Indifferent to People/Vehicles,Habituation,,Non-impact - Chalkball,
CBH2016-0051,2016-08-30,Cape Breton Field Unit,Cape Breton Highlands National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
GBI2016-00099,2016-08-30,Eastern and Central Ontario Field Unit,Georgian Bay Islands National Park of Canada,Human Wildlife Interaction,Massasauga,1,,,Presence - Wildlife Exclusion Zones,,,,
GBI2016-00100,2016-08-30,Eastern and Central Ontario Field Unit,Georgian Bay Islands National Park of Canada,Human Wildlife Interaction,Massasauga,1,,,Presence - Wildlife Exclusion Zones,,,,
GBI2016-00101,2016-08-30,Eastern and Central Ontario Field Unit,Georgian Bay Islands National Park of Canada,Human Wildlife Interaction,Massasauga,1,,,Presence - Wildlife Exclusion Zones,,,,
GLA2016-00006,2016-08-30,Mount Revelstoke and Glacier Field Unit,Glacier National Park of Canada,Human Wildlife Interaction,Grizzly Bear,3,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Noise - Voice,
JNP2016-1352,2016-08-30,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,10,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1353,2016-08-30,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,3,Healthy,,Indifferent to People/Vehicles,Defence of Young,,,
JNP2016-1354,2016-08-30,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1355,2016-08-30,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,5,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1356,2016-08-30,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,Healthy,,Indifferent to People/Vehicles,Habituation,,,
JNP2016-1357,2016-08-30,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,2,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1358,2016-08-30,Jasper Field Unit,Jasper National Park of Canada,Harassment,Black Bear,3,Healthy,,Contact-Property,Food Reward,Human food,,
JNP2016-1359,2016-08-30,Jasper Field Unit,Jasper National Park of Canada,Rescued/Recovered/Found Wildlife,Elk,1,Healthy,,,,,,
JNP2016-1360,2016-08-30,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,2,Healthy,,Presence - Wildlife Exclusion Zones,,,,
JNP2016-1361,2016-08-30,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,3,Healthy,,Presence - Wildlife Exclusion Zones,Habituation,"Fruit tree, shrub or garden",,
JNP2016-1365,2016-08-30,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Cougar,1,Healthy,,Indifferent to People/Vehicles,,,,
LL2016-0567,2016-08-30,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Human Wildlife Interaction,Moose,1,,,Avoidance,Habituation,Vegetation (natural),,
MRGNP2016-0441,2016-08-30,Mount Revelstoke and Glacier Field Unit,Mount Revelstoke National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Contact-Property,Food Conditioned,Garbage,Presence of Vehicle,
MRGNP2016-0442,2016-08-30,Mount Revelstoke and Glacier Field Unit,Mount Revelstoke National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,Healthy,,Vocalization,Food Conditioned,Human food,,
PRN2016-0241,2016-08-30,Coastal British Columbia Field Unit,Pacific Rim National Park Reserve of Canada,Human Wildlife Interaction,Black Bear,1,,,Unyielding (refuse to give ground),Food Conditioned,Vegetation (natural),Noise - Voice,
PRN2016-0242,2016-08-30,Coastal British Columbia Field Unit,Pacific Rim National Park Reserve of Canada,Human Wildlife Interaction,Black Bear,1,,,Unyielding (refuse to give ground),Food Conditioned,Human food,Noise - Voice,
RMNP2016-0036,2016-08-30,Riding Mountain Field Unit,Riding Mountain National Park of Canada,Rescued/Recovered/Found Wildlife,Moose,1,Not Located,Collision,,,,,
WL2016-0359,2016-08-30,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,,,,
BAN2016-1262,2016-08-31,Banff Field Unit,Banff National Park of Canada,Highway Fence Intrusion,Grizzly Bear,1,Healthy,Entangle-Entrapment,,Habituation,,,
BAN2016-1263,2016-08-31,Banff Field Unit,Banff National Park of Canada,Wildlife Sighting,Elk,1,Healthy,,,Habituation,"Fruit tree, shrub or garden",Noise - Horn,
BAN2016-1264,2016-08-31,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Black Bear,3,Healthy,,Indifferent to People/Vehicles,,Vegetation (natural),,
BAN2016-1265,2016-08-31,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Black Bear,3,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Noise - Voice,
BAN2016-1266,2016-08-31,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),,
BAN2016-1267,2016-08-31,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Mule Deer,1,Healthy,,Avoidance,Habituation,Vegetation (natural),Noise - Voice,
