Incident Number,Incident Date,Field Unit,Protected Heritage Area,Incident Type,Species Common Name,Sum of Number of Animals,Animal Health Status,Cause of Animal Health Status,Animal Behaviour,Reason for Animal Behaviour,Animal Attractant,Deterrents Used,Animal Response to Deterrents
2019-HWC-0000-BANFU-1757,2019-10-02,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Elk,1,Dead,Predation,Not Applicable,,Domestic grass,Not Applicable,Not Applicable
2019-HWC-0000-BANFU-1758,2019-10-02,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Unknown bat,1,Healthy,,Indifferent to People/Vehicles,Unknown,,,
2019-HWC-0000-BANFU-1764,2019-10-02,Banff Field Unit,Banff National Park of Canada,Wildlife Sighting,Wolf,3,,,,,,,
2019-HWC-0000-BANFU-1764,2019-10-02,Banff Field Unit,Banff National Park of Canada,Wildlife Sighting,Wolf,1,Healthy,,Indifferent to People/Vehicles,Habituation,Unknown,None,Not Applicable
2019-HWC-0000-JASFU-2622,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Rescued/Recovered/Found Wildlife,Coyote,1,Dead,Collision,,,,,
2019-HWC-0000-JASFU-2623,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,24,,,,,,,
2019-HWC-0000-JASFU-2623,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2624,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Moose,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2625,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Moose,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2626,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,5,,,,,,,
2019-HWC-0000-JASFU-2626,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2627,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,19,,,,,,,
2019-HWC-0000-JASFU-2627,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2628,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Grizzly Bear,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2629,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Rescued/Recovered/Found Wildlife,White-tailed Deer,1,Dead,Collision,,,,,
2019-HWC-0000-JASFU-2630,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Bighorn Sheep,10,,,,,,,
2019-HWC-0000-JASFU-2630,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Bighorn Sheep,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2631,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2632,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,27,,,,,,,
2019-HWC-0000-JASFU-2632,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2633,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,7,,,,,,,
2019-HWC-0000-JASFU-2633,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2634,2019-10-02,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Presence - Wildlife Exclusion Zones,Habituation,"Fruit tree, shrub or garden",Impact - Chalkball,Retreat - Walk
2019-HWC-0000-YKLLFU-0216,2019-10-02,"Lake Louise, Yoho and Kootenay Field Unit",Yoho National Park of Canada,Attractant,None,0,,,,,Grain,,
